GP-MAN-CERT ,Management et gestion de projets opérationnels avec des méthodes agiles (conduire et piloter un projet innovant avec des méthodes agiles) - Avec certification
GP-INF ,Gestion de projets informatiques
GP-FND ,Les fondamentaux de la gestion de projets
SCRUM ,Scrum
EXT-PRO ,eXtreme - Programming en pratique
PIL-PROJINT ,Piloter des projets informatiques internationaux
SEMI-MAGP ,Gestion de projets : la méthode hybride, entre traditionnelle et Agile
CHAN-AGILE-CERT ,Manager les transformations de façon agile (conduire et piloter un projet innovant avec des méthodes agiles) - Avec certification
CHAN-AGILE ,Manager les transformations de façon agile (conduire et piloter un projet innovant avec des méthodes agiles)
GP-INAGI ,Conduire et piloter un projet innovant avec les méthodes agiles
SEMI-GP ,Les référentiels en gestion de projets
GP-PMO ,Mettre en place une organisation par projets - PMO (Project Management Office)
GP-COU ,Gestion des coûts dans les projets
GP-RIS ,Gestion des risques dans les projets
JVS-IN ,JavaScript - Fondamentaux
JVS-AV ,JavaScript - Programmation avancée
JVS-DES ,JavaScript et jQuery pour les designers
RXJS-PROG ,Programmation réactive avec RxJS
JQ-AV ,jQuery avancé - Plug-ins et widgets
JVS-EC ,JavaScript - Nouveautés apportées par les versions ECMAScript 6 à 14
SEC-FRAM ,La sécurité des frameworks JavaScript
JVS-DC ,Formulaire PDF avancé avec JavaScript
DEV-CLIF ,Développement d'applications clients full stack
JVS-ANGU ,Angular 16 et versions antérieures - Développement d'applications Web
JVS-REA ,ReactJS - Développement d'applications Web
JVS-ANGAV ,Angular 16 et versions antérieures - Fonctionnalités avancées
JVS-EMB ,Ember
GRAPH-QL ,GraphQL
JVS-BAC ,Backbone.js
PHP-IN ,PHP 8 et versions antérieures - Développement d'applications Web
PHP-PE ,PHP 8 et versions antérieures - Développement Web avancé et programmation objet
PHP-REST ,PHP 8 et versions antérieures - Développer des services Web avec REST
HTM-FND ,HTML 5, CSS 3, Responsive - Création de pages Web
HT5-CSS3 ,Les API de HTML 5 et CSS 3 - Pour les développeurs
CSS-AV ,CSS 3 avancé et Responsive Design
HTM-FND ,HTML 5, CSS 3, Responsive - Création de pages Web
CSS-AV ,CSS 3 avancé et Responsive Design
HT5-CSS3 ,Les API de HTML 5 et CSS 3 - Pour les développeurs
SAS-FND ,Programmation SAS - Fondamentaux
JVS-ANGU ,Angular 16 et versions antérieures - Développement d'applications Web
JVS-ANGAV ,Angular 16 et versions antérieures - Fonctionnalités avancées
JVS-VUE ,Vue.js 3 - Développement d'applications Web
PDV-VID ,Initiation à la prise de vue vidéo
SEC-CYBINTRO ,Parcours introductif à la cybersécurité
SEC-HACK ,Techniques de hacking - Niveau 1
SEC-HACK2 ,Techniques de hacking - Niveau 2
DPO-PECB ,RGPD / GDPR - DPO - Avec certification
SEC-CTI ,Cyber Threat Intelligence - Niveau 1
SEC-ANASOC ,Parcours Analyste SOC (Security Operation Center)
SEC-SCA ,Cybersécurité des systèmes industriels (SCADA)
PREPA-HACK ,Cours préparatoire aux techniques de hacking
SEC-TECH ,Méthodologie de veille pour la cybersécurité
SEC-IAM ,Gestion des identités et sécurité des accès
RGPD-CYBER ,RGPD et Cybersécurité
SPLUNK-CYBER ,Splunk - Gestion des opérations de cybersécurité
FD-ACS ,Analyste Cybersécurité
EBIO-RM18 ,Méthode EBIOS RM 2018 (Risk Manager)
ISO-27RM ,ISO 27005 - Risk Manager - Avec certification
EGERIE-ISO ,EGERIE Risk Manager avec ISO 27005
ISO-22LA ,ISO 22301 - Lead Auditor - Avec certification
ISO-22LI ,ISO 22301 - Lead Implementer - Avec certification
CHK81-EXP ,Check Point - Certified Security Expert R81.x
STO-CSNE ,Stormshield Network - Expert
SEC-DNS ,Sécurité des serveurs de noms (DNS)
STO-CSMCE ,Stormshield Management Center - Expert
STO-CSNTS ,Stormshield Network - Troubleshooting and support
FGT-COMB ,Fortinet NSE 4 - FortiGate Security et Infrastructure
SEMI-SCA ,SCADA - Introduction à la sécurité des systèmes industriels
GP-INF ,Gestion de projets informatiques
GP-MAN-CERT ,Management et gestion de projets opérationnels avec des méthodes agiles (conduire et piloter un projet innovant avec des méthodes agiles) - Avec certification
GP-FND ,Les fondamentaux de la gestion de projets
GP-INAGI ,Conduire et piloter un projet innovant avec les méthodes agiles
GP-MAN ,Management et gestion de projets opérationnels
PIL-PROJINT ,Piloter des projets informatiques internationaux
GP-PMO ,Mettre en place une organisation par projets - PMO (Project Management Office)
GP-COU ,Gestion des coûts dans les projets
GP-RIS ,Gestion des risques dans les projets
SEMI-GP ,Les référentiels en gestion de projets
COMV-UXD ,UX Design - Les clés de la réussite pour votre projet digital
UXD-STR ,Stratégie UX Design - Conjuguer business et expérience utilisateur
UID-ERGO ,UI Design et ergonomie - Le design d'interface centré utilisateur
FD-DWWM, Développeur(euse) Web et Web Mobile

